질문,대답,관련 규정,관련 조항,카테고리,키워드,업데이트 날짜
법인카드로 결제했는데 카드매출전표에 제 이름을 적지 않았어요. 정산에 문제가 될 수 있나요?,법인카드 사용 시 카드매출전표에는 자필로 사용자의 성명을 명확하게 기재해야 합니다. 누락된 경우 보완 가능 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,법인카드 관리 및 사용지침,제7조 제6항,비용정산,"카드매출전표, 사용자 성명, 자필기재, 증빙, 법카, 카드 정산, 결제, 법인카드로, 결제했는데, 카드매출전표에, 이름을, 적지",23.08.01
법인카드 분실 후 마지막 사용내역 확인은 누가 하나요?,"분실신고 후 주관부서가 카드회사에 분실된 법인카드의 마지막 사용내역을 확인하고, 분실·훼손 및 재발급 대장을 작성해 보관합니다.",법인카드 관리 및 사용지침,제11조 제3항,비용정산,"마지막 사용내역, 분실카드, 재발급 대장, 주관부서, 법카, 카드 정산, 결제, 법인카드, 분실, 마지막, 사용내역, 확인은",23.08.01
밤 11시 이후에 해외 출장 숙박비가 결제됐는데 비정상시간대 사용으로 문제가 되나요?,23시~익일 06시는 비정상시간대 사용으로 제한됩니다. 다만 업무추진상 불가피한 경우 객관적 증명과 소명자료가 필요할 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,법인카드 관리 및 사용지침,제9조 제4항 G,출장,"비정상시간대, 23시, 해외출장, 숙박비, 법카, 카드 정산, 결제, 출장비, 여비, 정산, 11시, 이후에",23.08.01
"기명식 법인카드는 회사가 바로 결제해주는 건가요, 제 계좌에서 먼저 빠져나가나요?",기명식 법인카드의 사용대금은 사용자가 지정한 본인 명의 계좌로 결제됩니다. 청구된 정산서에 대해 주관부서가 검토 후 영업일 3일 이내 급여계좌로 지급합니다.,법인카드 관리 및 사용지침,"제10조 제2항, 제10조 제3항",비용정산,"기명식 법인카드, 본인계좌, 정산서, 급여계좌 지급, 법카, 카드 정산, 결제, 기명식, 법인카드는, 회사가, 바로, 결제해주는",23.08.01
기명식 법인카드 사용내역은 언제까지 정산해야 하나요?,"기명식 법인카드 사용자는 일주일 단위로 사용내역을 정산하고, 차주 수요일까지 팀장 승인 청구서와 카드이용내역, 증빙을 주관부서에 제출해야 합니다.",법인카드 관리 및 사용지침,"제10조 제4항, 제14조 제1항",비용정산,"기명식 법인카드, 차주 수요일, 팀장 승인, 정산기한, 법카, 카드 정산, 결제, 기명식, 법인카드, 사용내역은, 언제까지, 정산해야",23.08.01
10만원이 넘는 회의비를 급하게 결제했는데 사전결재를 못 받았어요. 사후결재로 처리할 수 있나요?,1회 10만원 이상 사용은 사전결재가 원칙입니다. 불가피한 사유로 사전결재가 불가능했다면 최단기간 내 사후결재를 받아야 하므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,법인카드 관리 및 사용지침,제7조 제5항,비용정산,"10만원, 사전결재, 사후결재, 회의비, 법카, 카드 정산, 결제, 10만원이, 넘는, 회의비를, 급하게, 결제했는데",23.08.01
해외출장 출발일과 도착일에도 일비가 전액 지급되나요?,해외출장의 출발일과 도착일 해당 일비는 각각 절반으로 계산해 지급합니다.,출장여비규정,제20조 제3항 제3호 1목,출장,"해외출장, 출발일, 도착일, 일비 절반, 출장비, 여비, 정산, 출발일과, 도착일에도, 일비가, 전액, 지급되나요",24.07.04
출장여비를 선지급받았는데 법인카드도 사용했으면 일비나 식비를 또 정산할 수 있나요?,"일비는 출장품의서에 따라 선지급하고 정산하지 않는 것이 원칙이나, 법인카드를 사용하는 경우 선지급하지 않고 사후 한도 내 정산합니다. 중복 정산 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",출장여비규정,"제16조 제4항, 제20조 제3항 제3호, 제21조 제3항",출장,"법인카드, 선지급, 사후정산, 일비, 법카, 카드 정산, 결제, 출장비, 여비, 정산, 출장여비를, 선지급받았는데",24.07.04
출장 중 회사나 거래처에서 숙박을 제공받으면 숙박비도 받을 수 있나요?,회사 또는 기타 관계기관으로부터 숙박시설을 공식적으로 제공받는 경우 해당 부분의 여비는 지급하지 않습니다.,출장여비규정,제10조,출장,"숙박제공, 지급제한, 여비, 출장정산, 출장비, 정산, 출장, 회사나, 거래처에서, 숙박을, 제공받으면, 숙박비도",24.07.04
출장 중 현지 사정 때문에 숙박비가 기준보다 초과될 것 같으면 어떻게 해야 하나요?,국내·해외 모두 현지 사정에 따라 대표이사 승인 후 초과 지출이 가능하다고 규정되어 있습니다. 초과가 예상되면 사전에 별도 승인을 받아야 합니다.,출장여비규정,"제15조 제4항, 별표1, 별표3",출장,"숙박비 초과, 현지사정, 대표이사 승인, 초과지출, 출장비, 여비, 정산, 출장, 현지, 사정, 숙박비가, 기준보다",24.07.04
출장 중 일정이 하루 늘어났는데 사전승인을 못 받으면 추가 일비가 지급되나요?,해외출장 중 업무 연장으로 추가 체류가 필요한 경우 추가 일비는 사전승인을 받은 경우에만 지급됩니다. 사전승인 누락 건은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,출장여비규정,제20조 제3항 제2호,출장,"출장연장, 추가체류, 추가일비, 사전승인, 출장비, 여비, 정산, 출장, 일정이, 하루, 늘어났는데, 사전승인을",24.07.04
출장 중 일부 식사를 제공받았는데 식비나 일비는 어떻게 계산되나요?,"회사 또는 관계기관이 식사를 공식 제공한 경우 해당 부분 여비는 지급하지 않습니다. 파견여비의 경우 1식 제공 시 일비 80%, 2식 제공 시 60% 지급 기준도 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",출장여비규정,"제10조, 제24조",출장,"식사제공, 일비, 지급제한, 파견여비, 출장비, 여비, 정산, 출장, 일부, 식사를, 제공받았는데, 식비나",24.07.04
출장 목적과 다르게 일정을 변경했는데 이미 받은 여비를 반환해야 할 수 있나요?,결재권자의 승인 없이 출장목적이나 규정을 위반한 경우 여비의 일부 또는 전액을 반환해야 합니다. 실제 반환 범위는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,출장여비규정,"제11조, 별표4",출장,"출장목적, 일정변경, 여비반환, 규정위반, 출장비, 여비, 정산, 출장, 목적과, 다르게, 일정을, 변경했는데",24.07.04
당일출장에서 한국 도착 시간이 오전 11시 30분이면 일비는 하루치인가요?,"1일 미만 출장 중 한국 도착시간 기준 12시 이전은 일비의 절반, 12시 이후는 1일로 계산해 지급합니다. 오전 11시 30분 도착이면 절반 기준에 해당합니다.",출장여비규정,제5조 제2항,출장,"당일출장, 도착시간, 12시 이전, 일비 절반, 출장비, 여비, 정산, 당일출장에서, 한국, 도착, 시간이, 오전",24.07.04
다른 부서 직원과 같은 목적지로 같이 출장 가면 한 부서에서 한 번만 출장신청해도 되나요,소속이 다른 2인 이상의 직원이 같은 목적지로 동반출장을 가는 경우 각 직원의 소속 부서에서 개별적으로 부서장 승인을 받아야 합니다.,출장여비규정,제6조 제3항,출장,"동반출장, 부서별 신청, 부서장 승인, 출장신청, 출장비, 여비, 정산, 다른, 부서, 직원과, 같은, 목적지로",24.07.04
국내출장에서 개인차량을 사용하면 유류대와 통행료를 받을 수 있나요?,국내출장 교통비는 개인차량 이용 시 유류대와 통행료를 증빙 첨부해 사후정산합니다. 유류대는 별표1 기준상 10km당 1L로 환산해 지급합니다.,출장여비규정,"제16조 제3항, 별표1",출장,"개인차량, 유류대, 통행료, 10km당 1L, 출장비, 여비, 정산, 국내출장에서, 개인차량을, 사용하면, 유류대와, 통행료를",24.07.04
국내 동일지역 출장이 25일 정도 이어지면 일반 출장여비 기준이 그대로 적용되나요?,국내 동일지역에서 장기간 체류하는 경우 장기출장여비 기준을 적용합니다. 20일 초과일수에 대해서는 기준의 90%를 지급합니다.,출장여비규정,"제18조, 별표2",출장,"장기출장, 20일 초과, 동일지역, 90% 지급, 출장비, 여비, 정산, 국내, 출장이, 25일, 정도, 이어지면",24.07.04
평가점수가 79점이면 A등급으로 올림 처리될 수 있나요?,"평가등급은 점수표에 따라 부여되며, B등급은 70~79점, A등급은 80~89점입니다. 원문상 79점을 A등급으로 올림 처리한다는 내용은 없습니다.",인사평가규정,제13조,인사평가,"평가등급, 79점, B등급, A등급, 평가, 평가결과, 등급, 평가점수가, 79점이면, A등급으로, 올림, 처리될",25.02.01
평가자가 휴직이나 징계 등으로 평가제외 대상이면 누가 평가하나요?,"평가자가 평가제외대상에 해당하면 평가권을 행사할 수 없고, 조직도상 차상위 상급자 또는 대표이사가 지정한 사람이 평가합니다.",인사평가규정,제4조 제3항,인사평가,"평가자 제외, 차상위 상급자, 대표이사 지정, 평가권, 평가, 평가결과, 등급, 복직, 휴직원, 휴직 신청, 평가자가, 휴직이나",25.02.01
평가기준일에 복직한 지 얼마 안 됐는데 전년도 평가로 대체될 수 있나요?,"복직, 해외 출장, 정직 등 부득이한 사유로 정기 평가 기준일 현재 근무 중이 아닌 경우 전년도 평가 성적을 사용하거나 향후 2개월 범위에서 평가시기를 따로 정할 수 있습니다. 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",인사평가규정,제7조 제3항,인사평가,"복직, 전년도 평가, 평가시기, 정기평가, 평가, 평가결과, 등급, 평가기준일에, 복직한, 얼마, 됐는데, 전년도",25.02.01
평가결과에 납득이 안 되면 팀장에게 말로 얘기해도 이의신청이 되나요?,평가결과에 이의가 있으면 이의신청기간 내 지정 서식으로 평가자에게 서면 제출해야 합니다. 구두 문의만으로 이의신청 절차가 진행된다고 보기는 어렵습니다.,인사평가규정,"제14조 제2항, 제14조 제5항",인사평가,"이의신청, 서면제출, 지정서식, 평가자, 평가, 평가결과, 등급, 평가결과에, 납득이, 되면, 팀장에게, 말로",25.02.01
"제 평가자는 팀장인가요, 담당임원인가요? 직책에 따라 달라지나요?","팀원·부팀장·파트장은 본인 자기평가 후 팀장이 평가하고, 담당임원이 조정하며 대표이사가 결정합니다. 팀장은 담당임원이 평가하고 대표이사가 결정합니다.",인사평가규정,제5조,인사평가,"평가자, 조정자, 결정자, 팀장, 담당임원, 평가, 평가결과, 등급, 평가자는, 팀장인가요, 담당임원인가요, 직책에",25.02.01
인사이동으로 새 팀에 온 지 2개월밖에 안 됐는데 바로 평가대상이 되나요?,전환 배치자는 인사이동 후 3개월 이상이 지난 후 평가대상이 됩니다. 평가유예제도는 전환 배치자의 인사상 불이익을 방지하기 위한 제도입니다.,인사평가규정,"제17조 제1항, 제17조 제2항",인사평가,"전환배치, 인사이동, 평가유예, 3개월, 평가, 평가결과, 등급, 인사이동으로, 팀에, 2개월밖에, 됐는데, 바로",25.02.01
올해 휴직 기간이 6개월을 넘으면 인사평가를 아예 안 받게 되나요?,평가기준년도 기간 중 반 이상을 휴직한 사람은 원칙적으로 평가대상에서 제외됩니다. 다만 육아휴직·가족돌봄휴직 등은 별표3에 따라 평가대상기간에 포함될 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,인사평가규정,"제4조 제1항 제3호, 별표3",인사평가,"휴직, 평가제외, 육아휴직, 가족돌봄휴직, 평가, 평가결과, 등급, 복직, 휴직원, 휴직 신청, 올해, 기간이",25.02.01
올해 8월에 입사했는데 이번 정기 인사평가 대상에 포함되나요?,평가기준년도 기간의 반 이상이 지난 뒤 입사한 사람은 평가대상에서 제외됩니다. 다만 대표이사가 필요하다고 인정하면 평가할 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,인사평가규정,"제4조 제1항 제4호, 제4조 제2항",인사평가,"중도입사, 평가대상, 평가제외, 대표이사 승인, 평가, 평가결과, 등급, 올해, 8월에, 입사했는데, 이번, 정기",25.02.01
1월에 세운 개인 목표가 실제 업무와 달라졌는데 평가 전에 수정할 수 있나요?,"개인별 업무목표는 매년 1월 설정하고, 3월과 7월 두 차례 조정할 수 있습니다. 조정한 목표는 실제 운영 및 업무수행과 일치해야 합니다.",인사평가규정,제12조 제1항,인사평가,"개인목표, 목표조정, 3월, 7월, 평가, 평가결과, 등급, 1월에, 세운, 개인, 목표가, 실제",25.02.01
대기발령을 받으면 출근하지 않아도 되고 급여도 그대로 나오나요?,"대기발령자는 회사가 지정한 곳으로 출근하는 등 회사 지시에 따라야 합니다. 근로를 제공하면 본래 급여를 지급하지만, 자택대기 등 근로를 제공하지 않는 경우 평균임금의 70%를 지급한다고 규정되어 있습니다.",취업규칙,"제25조 제2항, 제25조 제3항, 제25조 제5항",급여,"대기발령, 자택대기, 평균임금 70%, 출근지시, 월급, 보수, 임금, 대기발령을, 받으면, 출근하지, 않아도, 되고",26.05.12
올해 연봉계약이 늦어지면 새 연봉이 확정될 때까지 급여가 어떻게 지급되나요?,"연봉이 확정되지 않은 경우 전년도에 준하여 지급하고, 연봉계약이 확정된 후 소급 정산한다고 규정되어 있습니다.",직원보수규정,제12조 제2항,급여,"연봉계약, 계약지연, 전년도 기준, 소급정산, 월급, 보수, 임금, 올해, 연봉계약이, 늦어지면, 연봉이, 확정될",23.03.01
연봉계약 내용에 이의가 있으면 구두로 문의하면 되나요?,연봉계약에 이의가 있는 경우 사유와 의견을 서면으로 작성해 인사담당부서장에게 연봉 재심청구를 할 수 있습니다.,직원보수규정,"제13조 제1항, 제13조 제2항",급여,"연봉재심, 이의제기, 서면청구, 인사위원회, 월급, 보수, 임금, 연봉계약, 내용에, 이의가, 구두로, 문의하면",23.03.01
급여 계산 결과 원 단위 이하 단수가 생기면 어떻게 처리되나요?,급여계산에서 첫 자리 미만의 단수가 있을 때 소수점 미만은 사사오입한다고 규정되어 있습니다.,직원보수규정,제6조,급여,"급여계산, 단수처리, 사사오입, 소수점, 월급, 보수, 임금, 급여, 계산, 결과, 단위, 이하",23.03.01
내부직원이 사내 교육 강의를 하면 강사료를 받을 수 있나요?,"내부직원 강사료는 시간당 40,000원으로 기재되어 있습니다. 다만 실제 지급 대상 여부는 교육 성격과 내부 기준에 따라 달라질 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",전문가수당 지급 기준,강사료,급여,"내부직원, 사내강의, 강사료, 시간당 4만원, 월급, 보수, 임금, 내부직원이, 사내, 교육, 강의를, 강사료를",21.11.04
재택근무 중 야간이나 연장근로를 하면 수당이 나오나요?,"재택근무 중 연장·야간근로는 사전에 소속 부서장의 승인을 받아야 하며, 승인된 경우 통상임금의 50%를 가산해 지급한다고 규정되어 있습니다. 승인 여부와 실제 지급 대상은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",유연근무제 운영지침,"제6조 제4항, 별첨1 제6조 제3항",급여,"재택근무, 연장근로, 야간근로, 가산수당, 유연근무제, 근무시간, 근태, 원격근무, 근무지, 월급, 보수, 임금",26.04.09
연차나 공휴일 시간이 포함되면 2주 80시간 초과 여부를 계산할 때 같이 들어가나요?,"초과근무 수당은 휴가, 유급휴일, 휴게시간을 제외한 실제 근로시간 기준으로 판단합니다. 연차·공휴일이 섞인 계산은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",유연근무제 운영지침,"별첨2 초과근무 수당 지급, Q&A 근로시간·출퇴근",급여,"휴가, 공휴일, 실제근로시간, 80시간, 유연근무제, 근무시간, 근태, 월급, 보수, 임금, 연차나, 시간이",26.04.09
무급휴가로 귀국하면 파견수당이나 기타수당도 그대로 지급되나요?,무급휴가 귀국 시 주거비를 제외한 기타수당은 일할 계산하여 차감한다고 규정되어 있습니다. 실제 차감 금액은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,가나파견 기타수당 지급조건,제6조 제2항 B-iii,급여,"무급휴가, 기타수당, 일할차감, 귀국, 월급, 보수, 임금, 무급휴가로, 귀국하면, 파견수당이나, 기타수당도, 그대로",20.08.13
중간 귀국 휴가를 다녀온 뒤 도중 사직하면 이미 지원받은 항공권이나 급여를 돌려줘야 하나요?,도중 사직 시 지원금 및 휴일기간에 대한 급여를 일할 계산하여 환수한다고 규정되어 있습니다. 실제 환수 금액은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,가나 파견 직원의 관리 등에 관한 규정,제13조 제5항,해외파견,"도중사직, 지원금 환수, 일할계산, 귀국휴가, 월급, 보수, 임금, 중간, 귀국, 휴가를, 다녀온, 도중",20.08.13
올해 중간 귀국 휴가 항공권 지원을 안 받으면 대체 지급을 받을 수 있나요?,해당 연도에 동반가족 포함 모두 항공운임 실비 지원을 자진 포기하면 상여 200만원을 대체 지급한다고 규정되어 있습니다.,가나 파견 직원의 관리 등에 관한 규정,제13조 제4항,해외파견,"항공운임 포기, 대체상여, 200만원, 중간귀국, 월급, 보수, 임금, 올해, 중간, 귀국, 휴가, 항공권",20.08.13
회사가 연차 사용촉진을 했는데 제가 끝까지 연차를 안 쓰면 미사용 연차수당을 받을 수 있나요?,"회사가 취업규칙상 절차에 따라 연차 사용촉진조치를 했음에도 연차를 사용하지 않은 경우, 해당 미사용 연차에 대해서는 금전으로 보상하지 않습니다. 촉진 절차 충족 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.",취업규칙,"제44조 제1항, 제44조 제2항",급여,"연차사용촉진, 미사용연차, 연차수당, 금전보상, 복직, 휴직원, 휴직 신청, 회사가, 연차, 사용촉진을, 했는데, 제가",26.05.12
업무상 재해로 휴직하면 회사 급여가 기존 월급처럼 지급되나요?,공상으로 인한 휴직자의 보수는 산업재해보상보험법에 따른 휴업급여에 해당하는 금액으로 규정되어 있습니다. 실제 지급 방식은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,직원보수규정,제9조 제1호,급여,"공상휴직, 산재, 휴업급여, 휴직보수, 복직, 휴직원, 휴직 신청, 월급, 보수, 임금, 업무상, 재해로",23.03.01
수습직원이 개인 질병으로 휴직하면 통상임금 70% 규정이 적용되나요?,수습직원의 경우 휴직 중 보수는 공상으로 인한 휴직 조항만 적용한다고 규정되어 있습니다. 개인 질병 휴직 적용 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,직원보수규정,제9조 제3호,급여,"수습직원, 질병휴직, 공상휴직, 휴직보수, 복직, 휴직원, 휴직 신청, 수습직원이, 개인, 질병으로, 휴직하면, 통상임금",23.03.01
병가를 사용한 날도 결근처럼 급여가 빠지나요?,결근일 보수 미지급 규정의 예외로 병가가 명시되어 있습니다. 다만 병가의 인정 여부와 처리 방식은 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,직원보수규정,제7조,급여,"병가, 결근, 급여공제, 유급처리, 복직, 휴직원, 휴직 신청, 월급, 보수, 임금, 병가를, 사용한",23.03.01
개인 질병으로 1년 이하 휴직하면 보수는 어느 정도 지급되나요?,공상 이외의 질병 휴직은 휴직기간이 1년 이하인 경우 휴직 당시 통상임금의 70%를 지급한다고 규정되어 있습니다. 실제 적용 여부는 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,직원보수규정,제9조 제2호,급여,"질병휴직, 통상임금 70%, 휴직급여, 비공상, 복직, 휴직원, 휴직 신청, 개인, 질병으로, 1년, 이하, 휴직하면",23.03.01
근로자위원이 중간에 퇴사하거나 결원이 생기면 바로 다시 선거하나요?,결원이 생기면 30일 이내 보궐선거를 실시합니다. 다만 차점자 명부가 있는 경우 보궐선거 없이 명부 순서에 따라 충원할 수 있습니다.,노사협의회 규정,"제8조 제1항, 제8조 제2항",기타 사내규정,"보궐선거, 결원, 30일 이내, 차점자, 근로자위원이, 중간에, 퇴사하거나, 결원이, 생기면, 바로, 다시, 선거하나요",24.07.29
고충처리위원이 해결하기 어려운 사안은 어떻게 처리되나요?,고충처리위원이 처리할 수 없는 고충이나 중요사항은 차기 노사협의회 회의에 부쳐 협의 처리합니다. 사안의 성격에 따라 처리 경로가 달라질 수 있으므로 개인 상황에 따라 다를 수 있으므로 HR에 문의해주세요.,노사협의회 규정,제27조 제4항,기타 사내규정,"고충처리, 중요사항, 노사협의회 상정, 차기회의, 고충처리위원이, 해결하기, 어려운, 사안은, 처리되나요",24.07.29
유연근무 중 교육이나 출장이 있으면 근무시간은 어떻게 처리되나요?,유연근무 적용 직원에게 교육이나 출장이 있는 경우에는 근로계약 등에 따른 소정근로시간을 근무한 것으로 간주합니다. 다만 실제 근무 인정 방식은 상황에 따라 달라질 수 있으므로 특이사항이 있으면 HR에 확인하는 것이 좋습니다.,유연근무제 운영지침,제3조 제3항,근태,"유연근무, 교육, 출장, 근무시간 인정, 소정근로시간, 근태, 유연근무제, 근무시간, 출장비, 여비, 정산, 교육이나",26.04.09
휴직이 끝나기 전에 복직하려면 복직원을 언제까지 제출하면 되나요?,휴직기간이 끝나기 전에 복직하려면 휴직기간 만료일 7일 전까지 복직원을 제출해야 합니다. 휴직 연장이 필요한 경우에는 만료일 30일 전까지 사유를 적어 승인을 신청해야 합니다.,취업규칙,제29조 제1항,휴가 및 휴직,"복직원, 복직 신청, 휴직 만료, 휴직 연장, 7일 전, 30일 전, 휴직, 복직, 휴직원, 휴직 신청, 휴직이, 끝나기",26.05.12
출장 전 출장품의서와 출장 후 보고서는 언제까지 제출해야 하나요?,"출장 전에는 출장품의서를 제출해야 하며, 국내출장은 출장 전 3일 이내, 해외출장은 출장 전 5일 이내 제출이 기준입니다. 출장 후에는 회사 복귀 후 3일 이내에 출장보고서를 작성해 보고해야 합니다.",출장여비규정,"제6조, 제7조",출장,"출장품의서, 출장보고서, 국내출장, 해외출장, 복귀 후 3일, 출장 전 3일, 출장 전 5일, 여비, 출장비, 정산, 출장, 출장품의서와",24.07.04
출장 중 특별한 업무 때문에 추가 비용이 발생하면 정산할 수 있나요?,특별한 업무나 사유로 규정상 여비 외 비용이 필요한 경우 출장품의 시 승인을 받아 실비 지급을 받을 수 있습니다. 부득이하게 사전 승인을 받지 못한 경우에는 구두보고 승인 후 사후 정산할 수 있습니다.,출장여비규정,제8조,출장,"출장 추가비용, 업무추진비, 실비 정산, 사후 정산, 출장품의, 구두보고, 여비, 출장비, 정산, 출장, 특별한, 업무",24.07.04
인사발령이 나면 기존 법인카드를 계속 써도 되나요?,법인카드 사용자가 인사발령 등 변동사유가 있을 때에는 반드시 법인카드를 주관부서에 반납해야 합니다. 계속 사용 가능 여부는 주관부서 확인이 필요합니다.,법인카드 관리 및 사용지침,제4조 제3항,비용정산,"인사발령, 법인카드 반납, 주관부서, 카드 관리, 법카, 비용정산, 카드 정산, 결제, 인사발령이, 나면, 기존, 법인카드를",23.08.01
휴직을 신청하려면 언제까지 회사에 알려야 하나요?,휴직을 원하는 경우 원칙적으로 휴직 시작 예정일 30일 전까지 휴직원과 증빙서류를 제출해야 합니다. 긴급 질병 등 부득이한 경우에는 7일 전 제출 또는 사후 보완이 가능할 수 있습니다.,취업규칙,"제26조 제1항, 제26조 제2항",휴가 및 휴직,"휴직 신청, 휴직원, 증빙서류, 30일 전, 긴급질병, 사후 보완, 복직, 휴직을, 신청하려면, 언제까지, 회사에, 알려야",26.05.12
휴직 신청서나 증빙서류를 제출하지 않으면 어떻게 되나요?,휴직 신청을 하지 않거나 휴직 관련 증명서를 제출하지 않으면 무단결근으로 간주될 수 있습니다. 휴직 사유가 있더라도 회사가 정한 신청 절차를 지키는 것이 중요합니다.,취업규칙,제26조 제6항,휴가 및 휴직,"휴직 증빙, 휴직 신청서, 무단결근, 휴직 절차, 휴직원, 복직, 휴직 신청, 휴직, 신청서나, 증빙서류를, 제출하지, 않으면",26.05.12
휴직 중에 다른 회사 일을 하거나 겸직해도 되나요?,"휴직 중에도 회사의 제규정을 준수해야 하며, 타 직업에 종사하거나 겸직할 수 없습니다. 휴직 중 겸직은 복무상 문제가 될 수 있으므로 반드시 HR 확인이 필요합니다.",취업규칙,제26조 제7항,윤리,"휴직 중 겸직, 겸업, 타 직업, 복무의무, HR 확인, 복직, 휴직원, 휴직 신청, 휴직, 중에, 다른, 회사",26.05.12
가족돌봄휴직을 신청했는데 회사가 거부할 수도 있나요?,"가족돌봄휴직은 원칙적으로 신청할 수 있지만, 계속 근로기간이 6개월 미만이거나 다른 가족이 돌볼 수 있는 경우, 대체인력 채용이 곤란한 경우, 사업 운영에 중대한 지장이 있는 경우에는 회사가 휴직명령을 하지 않을 수 있습니다.",취업규칙,"제26조 제1항 제5호, 제27조 제3항",휴가 및 휴직,"가족돌봄휴직, 6개월 미만, 대체인력, 사업운영, 휴직 거부, 휴직명령, 복직, 휴직원, 휴직 신청, 가족돌봄휴직을, 신청했는데, 회사가",26.05.12
급여일이 휴일이면 월급은 언제 지급되나요?,"보수 지급일은 익월 5일이며, 지급일이 휴일인 경우에는 그 전일 또는 익일에 지급될 수 있습니다.",직원보수규정,제5조,급여,"급여일, 보수 지급일, 익월 5일, 휴일 지급, 월급날, 월급, 보수, 임금, 급여일이, 휴일이면, 월급은, 언제",23.03.01
성과급은 모든 직원에게 동일하게 지급되나요?,성과연봉은 회사경영평가 결과 또는 직원의 근무성적평가 및 성과달성도 평가 결과에 따라 차등 지급될 수 있습니다. 세부 기준은 회사가 별도로 정할 수 있습니다.,직원보수규정,"제3조 제8호, 제23조",급여,"성과급, 성과연봉, 차등 지급, 근무성적, 성과달성도, 보수, 월급, 임금, 성과급은, 모든, 직원에게, 동일하게",23.03.01
명절 상여금은 직급과 관계없이 동일하게 지급되나요?,직원보수규정상 명절 상여금은 설과 추석에 각각 직위에 따라 차등 지급되는 것으로 정의되어 있습니다. 실제 지급 대상과 금액은 적용 기준에 따라 달라질 수 있어 HR 확인이 필요합니다.,직원보수규정,제3조 제9호,급여,"명절 상여금, 설 상여금, 추석 상여금, 직위별 차등, 상여, 급여, 월급, 보수, 임금, 명절, 상여금은, 직급과",23.03.01
인사평가 결과가 나오면 누구를 통해 통보받나요?,"인사평가 결과가 최종 집계되면 인사담당자가 소속팀장에게 통보하고, 소속팀장은 소속 팀원에게 평가결과를 개별 통보합니다.",인사평가규정,제14조 제1항,인사평가,"평가결과 통보, 소속팀장, 개별 통보, 인사담당자, 인사평가, 평가, 평가결과, 등급, 결과가, 나오면, 누구를, 통해",25.02.01
평가결과를 다른 직원에게 말하거나 다른 사람 평가를 물어봐도 되나요?,"인사평가 결과는 보안 유지 대상입니다. 피평가자는 본인의 평가결과 내용을 타인에게 발설하거나, 타인에게 평가결과에 대해 질문해서는 안 됩니다.",인사평가규정,제16조,인사평가,"평가결과 보안, 인사평가 비밀, 타인 평가, 평가결과 공유 금지, 보안, 평가, 평가결과, 등급, 평가결과를, 다른, 직원에게, 말하거나",25.02.01
전환 배치된 직원도 바로 인사평가 대상이 되나요?,평가유예제도에 따라 전환 배치자는 인사이동 후 3개월 이상이 지난 후에 평가대상이 됩니다. 구체적인 평가 반영 여부는 인사이동 시점에 따라 달라질 수 있습니다.,인사평가규정,제17조,인사평가,"전환배치, 인사이동, 평가유예, 3개월, 평가대상, 인사평가, 평가, 평가결과, 등급, 전환, 배치된, 직원도",25.02.01
법인카드 포인트를 개인적으로 사용할 수 있나요?,"법인카드 적립포인트는 주관부서에서 일괄 관리하며, 개별 사용은 할 수 없습니다.",법인카드 관리 및 사용지침,제13조,비용정산,"법인카드 포인트, 적립포인트, 개인 사용, 주관부서 관리, 법카, 카드 정산, 결제, 법인카드, 포인트를, 개인적으로, 사용할",23.08.01
법인카드 정산을 반복해서 늦게 하면 카드 사용이 정지될 수 있나요?,"반복적인 미정산, 법인카드 사용지침 3회 이상 위반 등 특별한 사유가 있으면 주관부서가 법인카드 사용을 정지할 수 있습니다.",법인카드 관리 및 사용지침,제12조 제5항,비용정산,"법인카드 미정산, 사용정지, 지침 위반, 반복 미정산, 법카 정산, 법카, 카드 정산, 결제, 법인카드, 정산을, 반복해서, 늦게",23.08.01
